CODEBUCH,,
"Im Codebuch definieren Sie, wie und nach welchen Kriterien erfasst werden.",,
,,
Wert,Kommentar,
edgelist,,
from,"definiert den Sender in gerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, nur ein Wort",
to ,"definiert den Empfänger in ungerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, etc. auch genannt die Stakeholdergruppe",
,1 = Politik,
,2 = Verband (Industrie),
,3 = Gewerkschaft,
,4 = Umweltschutz (Verband/NGO/Initiative),
,5 = Industrie (Unternehmen aller Art außer Energieunternehmen),
,"6 = Energieunternehmen (Kohle, Strom, Gas, Wasser)",
,"7 = Wissenschaft (Universitäten, Forschungszentren, Institute)",
,8 = Regionalvertreter (auch Wählerverbünde),
,9 = CDU,
,10 = CSU,
,11 = SPD,
,12 = Gruene,
,"NA für alles, was nicht zutrifft.",
weight,"Ausprägung der Kantenstärke (Beziehungsstärke), definiert nach vorgegeben Skalen.",
,"1 = ohne Stimmrecht / ehemaliges Mandat, Parteimitglied",
,2 = Stimmrecht / aktives Mandat,
,3 = Vorsitzende / aktives Mandat oder Ministeramt,
time,"definiert einen Zeitraum, in dem die Beziehung zwischen zwei Knoten stattgefunden hat oder beobachtet wurde.",
nodelist,,
id,"eindeutige Identifikation jedes einzelnen Knotens (vertex), der erfasst wird.  ",
name,Name oder Bezeichnung des Knotens. ,
sex,dichotome Ausprägung: male oder female. Einfacher auch numerisch als 1 oder 2 zu kodieren.,
,männlich= 1,weiblich= 2
type,"relevant bei two-mode Netzwerken, um die Unterscheidung zwischen z.B. Akteur und Event zu berechnen.",
,Akteur=1,Event=0
alter,"Das Alter des Akteurs, bei Organisationen NA",
,1-39 = 1,
,40-49 = 2,
,50-59 = 3,
,Über 60 = 4,
Party,welcher party gehört der akteur an,
,1 = Politik,
,2 = Verband (Industrie),
,3 = Gewerkschaft,
,4 = Umweltschutz (Verband/NGO/Initiative),
,5 = Industrie (Unternehmen aller Art außer Energieunternehmen),
,"6 = Energieunternehmen (Kohle, Strom, Gas, Wasser)",
,"7 = Wissenschaft (Universitäten, Forschungszentren, Institute)",
,8 = Regionalvertreter (auch Wählerverbünde),
,9 = CDU,
,10 = CSU,
,11 = SPD,
,12 = Gruene,
,"NA für alles, was nicht zutrifft.",