from,to,weight
Platzeck,SPD,1
Platzeck,Regionalvertreter,1
Pofalla,CDU,3
Pofalla,Unternehmen,3
Praetorius,Energieunternehmen,1
Praetorius,Wissenschaft,3
Tillich,CDU,1
TIllich,Regionalvertreter,1
Hasselfeldt,CSU,1
Hasselfeldt,Verband,1
Kampeter,CDU,1
Kampeter,Verband,3
Kapferer,Politik,1
Kapferer,Energieunternehmen,3
Kempf,Verband,3
Nemat,Industrie,3
Reiche,CDU,1
Reiche,Verband,3
Roestel,Gruene,1
Roestel,Energieunternehmen,3
Schweitzer,Politik,1
Schweitzer,Verband,3
Schweitzer,Energieunternehmen,3
Grothus,Umweltschutz,1
Grothus,Regionalvertreter,3
Wodtke,CDU,3
Wodtke,Umweltschutz,1
Wodtke,Regionalvertreter,2
Herntier,Regionalvertreter,2
Kreuzberg,CDU,1
Kreuzberg,Regionalvertreter,2
Priggen,Gruene,1
Priggen,Regionalvertreter,1
Priggen,Umweltschutz,3
Vassiliadis,SPD,1
Vassiliadis,Gewerkschaft,3
Scheidt,SPD,1
Scheidt,Gewerkschaft,3
Scheidt,Energieunternehmen,2
Koerzell,SPD,1
Koerzell,Gewerkschaft,3
Kaiser,Umweltschutz,3
Weiger,Umweltschutz,3
Niebert,Wissenschaft,2
Niebert,Umweltschutz,3
Allmendinger,Wissenschaft,2
Matthes,Wissenschaft,2
Schnellnhuber,Wissenschaft,1
Niebuhr,Wissenschaft,2
Wehrsporn,Wissenschaft,3
Laemmel,CDU,2
,Wissenschaft,1
Lenz,CSU,2
,Wissenschaft,1
Miersch,SPD,2
,Regionalvertreter,1