id,name,sex,age,party,type
Platzeck,Platzeck,1,4,11,1
Pofalla,Pofalla,1,NA,9,1
Praetorius,Praetorius,2,NA,NA,1
Tillich,Tillich,1,4,9,1
Hasselfeldt,Hasselfeldt,2,4,10,1
Kampeter,Kampeter,1,3,9,1
Kapferer,Kapferer,1,3,1,1
Kempf,Kempf,1,4,NA,1
Nemat,Nemat,2,3,NA,1
Reiche,Reiche,2,2,9,1
Roestel,Roestel,2,3,12,1
Schweitzer,Schweitzer,1,3,1,1
Grothus,Grothus,2,NA,NA,1
Wodtke,Wodtke,2,NA,9,1
Herntier,Herntier,2,4,NA,1
Kreuzberg,Kreuzberg,1,4,9,1
Priggen,Priggen,1,4,12,1
Vassiliadis,Vassiliadis,1,3,11,1
Scheidt,Scheidt,1,3,11,1
Koerzell,Koerzell,1,3,11,1
Kaiser,Kaiser,1,3,NA,1
Weiger,Weiger,1,4,NA,1
Niebert,Niebert,1,1,NA,1
Allmendinger,Allmendinger,2,4,NA,1
Matthes,Matthes,1,3,NA,1
Schnellnhuber,Schnellnhuber,1,4,NA,1
Niebuhr,Niebuhr,2,NA,NA,1
Wehrsporn,Wehrsporn,1,2,NA,1
Laemmel,Laemmel,1,3,9,1
Lenz,Lenz,1,1,10,1
Miersch,Miersch,1,2,11,1
Politik,Politik,NA,NA,NA,0
Verband,Verband,NA,NA,NA,0
Gewerkschaft,Gewerkschaft,NA,NA,NA,0
Umweltschutz,Umweltschutz,NA,NA,NA,0
Industrie,Industrie,NA,NA,NA,0
Energieunternehmen,Energieunternehmen,NA,NA,NA,0
Wissenschaft,Wissenschaft,NA,NA,NA,0
Regionalvertreter,Regionalvertreter,NA,NA,NA,0
CDU,CDU,NA,NA,NA,0
CSU,CSU,NA,NA,NA,0
SPD,SPD,NA,NA,NA,0
Gruene,Gruene,NA,NA,NA,0